trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
274198,2020-10-01 00:00:00,343669000000000.0,fraud_Jacobi and Sons,shopping_pos,2.6,Sally,Moore,Female,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,16/11/1949,e2e7bf0edbb97c3cd1629ee457aa8ee6,1380585602,33.422795,-79.923132
274199,2020-10-01 00:00:00,30376200000000.0,"fraud_Christiansen, Goyette and Schamberger",gas_transport,68.21,Cynthia,Davis,Female,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,01/10/1928,e406e88c17b05c462cc8d7aafb3fc16e,1380585606,42.910209,-123.770496
274200,2020-10-01 00:01:00,4294040000000000.0,"fraud_Osinski, Ledner and Leuschke",grocery_pos,72.59,Gail,Weaver,Female,979 Stewart Lake,New Ellenton,SC,29809,33.413,-81.69,2206,Biomedical scientist,31/12/1986,4f81bbe2f6c3852d1eff684970bf621f,1380585660,32.502887,-81.843661
274201,2020-10-01 00:01:00,3598220000000000.0,"fraud_Greenholt, Jacobi and Gleason",gas_transport,78.69,Ashley,Lopez,Female,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21/10/1970,2127146402a339f2fbac15bca7f3caa8,1380585677,41.238505,-72.820485
274202,2020-10-01 00:01:00,180065000000000.0,fraud_Brown PLC,misc_net,443.3,Patricia,Gonzalez,Female,8973 Mark Drive,Stephensport,KY,40170,37.9048,-86.524,344,Chartered public finance accountant,30/03/1967,72f4bce2340332544afd76046a8d70a3,1380585698,38.868334,-85.935673
274203,2020-10-01 00:03:00,6592240000000000.0,fraud_Kutch-Hegmann,grocery_net,10.8,Philip,Hart,Male,97405 Vazquez Plains,Montgomery,AL,36111,32.3374,-86.2715,214703,"Chemist, analytical",07/10/1994,b6aa1510733148cf2b8dc387918ab73d,1380585795,32.577926,-87.023929
274204,2020-10-01 00:03:00,3593400000000000.0,fraud_Gutmann-Upton,misc_pos,8.34,Douglas,Smith,Male,85932 Marc Throughway Apt. 080,Knowlesville,NY,14479,43.2363,-78.3138,275,TEFL teacher,18/08/1964,a2ec29537d8c973d99e0eebc24fbbdb6,1380585803,42.376386,-77.659353
274205,2020-10-01 00:06:00,2576710000000000.0,fraud_Torp-Labadie,gas_transport,82.78,Joseph,Morgan,Male,126 Underwood Drive,San Diego,CA,92128,33.0067,-117.069,1241364,Chartered public finance accountant,05/08/1959,a766f124158b3da5b65852e5ff2b9c98,1380586009,32.227465,-116.86155
274206,2020-10-01 00:08:00,4990490000000.0,"fraud_Nienow, Ankunding and Collier",misc_pos,378.68,Martin,Ford,Male,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,13/12/1960,01d24f51564c692abc6b44ce3d795412,1380586085,39.622907,-79.763052
274207,2020-10-01 00:08:00,374656000000000.0,"fraud_Schumm, Bauch and Ondricka",grocery_pos,108.65,David,Lewis,Male,1499 Michael Rue,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,03/07/1984,0571c5ff83718deb4528f7e9895a1cc9,1380586095,38.30936,-77.140958
274208,2020-10-01 00:08:00,3575790000000000.0,fraud_Hintz-Bruen,grocery_net,50.11,Lindsay,Wilson,Female,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,17/07/1989,39010e91c44d17d6b06e9b80eb11bb2f,1380586097,39.203263,-93.577969
274209,2020-10-01 00:09:00,30044300000000.0,fraud_Bauch-Raynor,grocery_pos,197.74,Allison,Ayala,Female,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29/08/1985,1fcbce5063e69234ac21de1fab452eed,1380586140,26.641579,-81.547671
274210,2020-10-01 00:10:00,6595970000000000.0,fraud_Harris Inc,gas_transport,72.01,Gina,Gomez,Female,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,11/09/1969,7cd19bb59f9c7b1b93fad93d53c6d4a0,1380586243,41.208463,-74.975614
274211,2020-10-01 00:10:00,5501080000000000.0,"fraud_Towne, Greenholt and Koepp",shopping_net,75.07,Wayne,Payne,Male,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,04/01/1966,8d478744de037f67c43954f62a5c39df,1380586258,41.029108,-82.004194
274212,2020-10-01 00:11:00,3567530000000000.0,"fraud_Reichert, Rowe and Mraz",shopping_net,1.28,Amanda,Vance,Female,14601 Downs Skyway Apt. 440,Sterling City,TX,76951,31.8351,-101.0017,1143,"Scientist, biomedical",19/03/1962,61f0e49dddd5fcc904c55629ce60680c,1380586268,32.063609,-101.469827
274213,2020-10-01 00:11:00,376028000000000.0,fraud_Macejkovic-Lesch,shopping_pos,132.07,Aaron,Murray,Male,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,23/12/1974,45589c2a000decc0ba0f129faae68655,1380586316,39.107538,-93.317367
274214,2020-10-01 00:12:00,374930000000000.0,fraud_Schmitt Inc,gas_transport,70.61,Daniel,Escobar,Male,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,05/11/1971,6670be7ffdd0b365e64f9f44224c9410,1380586340,42.35542,-82.531884
274215,2020-10-01 00:13:00,3540210000000000.0,fraud_Dach-Borer,grocery_net,51.96,Steven,Yoder,Male,94975 David Mews Apt. 316,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,19/06/1992,e5b0107d83221d5bb9a5d34b2c799adb,1380586435,34.324229,-102.32623
274216,2020-10-01 00:18:00,676195000000.0,"fraud_Hayes, Marquardt and Dibbert",misc_net,1.43,Brandy,Quinn,Female,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",24/07/1983,1b46552b905b41053edb1523ca0eca1f,1380586689,29.019541,-96.504147
274217,2020-10-01 00:19:00,30030400000000.0,fraud_Boyer PLC,misc_pos,34.81,William,Jenkins,Male,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",17/11/1993,86b0d7e9b09a26edff944df580bd90db,1380586742,30.292651,-98.4585
274218,2020-10-01 00:20:00,4464460000000.0,fraud_Parisian and Sons,gas_transport,60.61,Breanna,Rodriguez,Female,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,24/01/1990,bfb721b8d537ec63c2c69ebaff4f725f,1380586829,29.024874,-84.229335
274219,2020-10-01 00:20:00,4070510000000000.0,fraud_Conroy Ltd,shopping_pos,9.17,Stephanie,Hopkins,Female,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",09/04/1967,33771283a41730a36241f971356b3306,1380586841,28.005659,-97.216069
274220,2020-10-01 00:27:00,372246000000000.0,fraud_Rau and Sons,grocery_pos,105.72,Rick,Martinez,Male,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,13/03/1970,edab9e9c80df956b4c45ccefc7c201c4,1380587225,44.820426,-102.763708
